2016-12-23 03:37:49,Inne,22.4,17
2016-12-23 03:38:49,Inne,22.4,17
2016-12-23 03:39:35,Ute,6.6,73
2016-12-23 03:39:49,Inne,22.4,17
2016-12-23 03:40:49,Inne,22.4,17
2016-12-23 03:41:49,Inne,22.4,17
2016-12-23 03:42:49,Inne,22.4,18
2016-12-23 03:43:48,Inne,22.4,17
2016-12-23 03:44:48,Inne,22.4,17
2016-12-23 03:45:48,Inne,22.4,17
2016-12-23 03:46:48,Inne,22.4,17
2016-12-23 03:47:48,Inne,22.4,17
2016-12-23 03:48:48,Inne,22.4,18
2017-01-10 13:48:14,Inne,21.4,18
2017-01-10 13:49:04,Ute,3.8,95
2017-01-10 13:49:19,Inne,21.3,18
2017-01-10 13:49:31,Inne,21.4,18
2017-01-10 13:50:06,Ute,3.8,95
2017-01-10 13:50:22,Inne,21.3,18
2017-01-10 13:50:35,Inne,21.4,18
2017-01-10 13:51:02,Ute,3.8,95
